Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Mar-2025),Crossref citations (as of 24-Mar-2025)
Identifying Mechanisms of Teaching Practices: A Study in Swedish Comprehensive Schooling,Olof Reichenberg,Scandinavian Journal of Educational Research,62,2,p213 - p228,2018,10.1080/00313831.2016.1212262,13-Sep-2016,https://doi.org/10.1080/00313831.2016.1212262,427.0,1.0
Investigating the Impact of Financial Aid on Student Dropout Risks: Racial and Ethnic Differences,"Rong Chen, Stephen L DesJardins",The Journal of Higher Education,81,2,p179 - p208,2010,10.1080/00221546.2010.11779048,31-Oct-2016,https://doi.org/10.1080/00221546.2010.11779048,1412.0,70.0
Mass attrition: An analysis of drop out from principles of microeconomics MOOC,"Gloria Allione, Rebecca M Stein",The Journal of Economic Education,47,2,p174 - p186,2016,10.1080/00220485.2016.1146096,13-Apr-2016,https://doi.org/10.1080/00220485.2016.1146096,916.0,32.0
Identifying students 'at risk' of withdrawal using ROC analysis of attendance data,Barry McCluckie,Journal of Further and Higher Education,38,4,p523 - p535,2014,10.1080/0309877x.2012.726970,05-Nov-2012,https://doi.org/10.1080/0309877x.2012.726970,513.0,4.0
Continuity and change in disaster education in Japan,Kaori Kitagawa,History of Education,44,3,p371 - p390,2015,10.1080/0046760x.2014.979255,15-Dec-2014,https://doi.org/10.1080/0046760x.2014.979255,1981.0,32.0
Evaluating admission criteria effects for under-represented groups,"Kathryn Broad, Ruth A Childs, Amanda K Ferguson, Monique B Herbert, Jingshun Zhang",Higher Education Research & Development,35,4,p658 - p668,2016,10.1080/07294360.2015.1137877,03-Feb-2016,https://doi.org/10.1080/07294360.2015.1137877,810.0,5.0
ICT/media uses and college entry for students from diverse backgrounds,Sunha Kim,Educational Media International,56,1,p44 - p58,2019,10.1080/09523987.2019.1583462,25-Mar-2019,https://doi.org/10.1080/09523987.2019.1583462,193.0,2.0
Leaving Teaching in the French-Speaking Community of Belgium: A Duration Analysis,V Vandenberghe,Education Economics,8,3,p221 - p239,2000,10.1080/096452900750046724,01-Jul-2010,https://doi.org/10.1080/096452900750046724,87.0,13.0
A survey of English teenagers' sexual experience and preferences for school-based sex education,"Katherine E Brown, Orla Dunn, Katie Newby, Louise M Wallace",Sex Education,12,2,p231 - p251,2012,10.1080/14681811.2011.615582,04-Nov-2011,https://doi.org/10.1080/14681811.2011.615582,2097.0,14.0
Institutional Expenditures and Student Graduation and Retention,"Craig M Chatriand, Christopher A Dahlvig, Jolyn E Dahlvig",Christian Higher Education,19,5,p352 - p364,2020,10.1080/15363759.2020.1712561,12-Feb-2020,https://doi.org/10.1080/15363759.2020.1712561,768.0,2.0
Antenatal and postpartum depression in women who conceived after infertility treatment: a longitudinal study,"Yuka Ito, Daisuke Nishi",Journal of Reproductive and Infant Psychology,,,p1 - p13,5187,10.1080/02646838.2024.2380416,24-Jul-2024,https://doi.org/10.1080/02646838.2024.2380416,241.0,1.0
The impact of institutional student support on graduation rates in US Ph.D. programmes,"Tommaso Agasisti, Thomas Bolli, Geraint Johnes",Education Economics,23,4,p396 - p418,2015,10.1080/09645292.2013.842541,01-Oct-2013,https://doi.org/10.1080/09645292.2013.842541,364.0,4.0
Education and inequalities in rural Vietnam in the 1990s,"Danièle Bélanger, Jianye Liu",Asia Pacific Journal of Education,28,1,p51 - p65,2008,10.1080/02188790701845980,03-Mar-2008,https://doi.org/10.1080/02188790701845980,533.0,13.0
Adapt or Abandon: Demographic Shocks and Principal Turnover,"Edward J Fuller, Andrew Pendola",Leadership and Policy in Schools,20,4,p704 - p726,2021,10.1080/15700763.2020.1759650,27-Jul-2020,https://doi.org/10.1080/15700763.2020.1759650,539.0,3.0
Increased Student Employment Is Associated with Inferior Biology Exam and Course Performance,"Keenan T Hartert, Megan E O'Connor, Finley G E Sims, Jana K Weber",Journal of College Science Teaching,53,6,p623 - p631,2024,10.1080/0047231x.2024.2388568,09-Sep-2024,https://doi.org/10.1080/0047231x.2024.2388568,80.0,0.0
Gender differences in the influence of parental class on young adults' participation in postsecondary education in the US,"Mirte M M Scholten, Felix Weiss",Journal of Further and Higher Education,38,2,p182 - p199,2014,10.1080/0309877x.2012.722196,27-Sep-2012,https://doi.org/10.1080/0309877x.2012.722196,375.0,0.0
Recently Published Dissertations on Community and Junior Colleges,,Community College Journal of Research and Practice,41,2,p145 - p152,2017,10.1080/10668926.2016.1206738,07-Jul-2016,https://doi.org/10.1080/10668926.2016.1206738,156.0,0.0
Basic deprivation and involvement in risky sexual behaviour among out-of-school young people in a Lagos slum,Michael Kunnuji,"Culture, Health & Sexuality",16,7,p727 - p740,2014,10.1080/13691058.2014.894206,04-Apr-2014,https://doi.org/10.1080/13691058.2014.894206,273.0,9.0
(Un)Available upon Request: Field Experiment on Researchers' Willingness to Share Supplementary Materials,"Michal Krawczyk, Ernesto Reuben",Accountability in Research,19,3,p175 - p186,2012,10.1080/08989621.2012.678688,11-Jun-2012,https://doi.org/10.1080/08989621.2012.678688,673.0,42.0
Likelihood-Based Inference of Log-Logistic Accelerated Hazards Regression Models for Cross Hazards Data,"Dana Gwen, Il Do Ha, Nak Gyeong Ko",Measurement: Interdisciplinary Research and Perspectives,,,p1 - p19,5187,10.1080/15366367.2024.2412806,21-Oct-2024,https://doi.org/10.1080/15366367.2024.2412806,27.0,1.0
Young Adults in their First Job: The Role of Organizational Factors in Determining Job Satisfaction and Turnover,"J A Feij, A W Taris, J H M van Gastel, E G van der Velde",International Journal of Adolescence and Youth,4,1,p51 - p71,1992,10.1080/02673843.1992.9747723,27-Mar-2012,https://doi.org/10.1080/02673843.1992.9747723,642.0,3.0
The effects of practice testing and feedback on learners' performance and persistence in a massive open online course,"Terrence Calistro, Felix J Esser, Maria Janelli, Anastasiya A Lipnevich, Mi Jin Park",Journal of Research on Technology in Education,,,p1 - p20,5187,10.1080/15391523.2024.2398513,05-Sep-2024,https://doi.org/10.1080/15391523.2024.2398513,171.0,0.0
The transition from school to work in Flanders: a duration analysis,"Eddy Omey, Jurgen Vanoverberghe, Dieter Verhaest, Elsy Verhofstadt",Journal of Education and Work,21,4,p317 - p331,2008,10.1080/13639080802379895,09-Sep-2008,https://doi.org/10.1080/13639080802379895,328.0,20.0
"Examining Zero Expected Family Contribution as a New Criterion for ""Low Income"": Comparing the Impact on Student Persistence at Two- and Four-Year Institutions",J Cody Davidson,Community College Journal of Research and Practice,39,5,p442 - p460,2015,10.1080/10668926.2013.837414,03-Nov-2014,https://doi.org/10.1080/10668926.2013.837414,731.0,2.0
Parental Characteristics and Resiliency in Identification Rates for Special Education,"Jeffrey A Anderson, Allison A Howland, D Betsy McCoach",Preventing School Failure: Alternative Education for Children and Youth,59,2,p63 - p72,2015,10.1080/1045988x.2013.837811,13-Jan-2015,https://doi.org/10.1080/1045988x.2013.837811,570.0,13.0
Youth unemployment and labour market transitions in Hungary,"RICK AUDAS, ÉVA BERDE, PETER DOLTON",Education Economics,13,1,p1 - p25,2005,10.1080/0964529042000325180,05-Oct-2010,https://doi.org/10.1080/0964529042000325180,479.0,21.0
The effects of socioeconomic status on healthy life expectancy among different age groups of Japanese suburban elderly,Suwen Yang,Educational Gerontology,43,12,p595 - p608,2017,10.1080/03601277.2017.1376455,10-Oct-2017,https://doi.org/10.1080/03601277.2017.1376455,249.0,1.0
Studying Attrition and Degree Completion Behavior among First-Generation College Students in the United States,Terry T Ishitani,The Journal of Higher Education,77,5,p861 - p885,2006,10.1080/00221546.2006.11778947,01-Nov-2016,https://doi.org/10.1080/00221546.2006.11778947,4112.0,142.0
Motivational Development and Learning Success in Regular Semesters and Distance Semesters Under Pandemic Conditions in an Educational Psychology Lecture Course,"Eva Bosch, Zoe Maj Sander, Birgit Spinath",The Journal of Experimental Education,,,p1 - p24,5187,10.1080/00220973.2024.2341053,18-Apr-2024,https://doi.org/10.1080/00220973.2024.2341053,142.0,0.0
Merchants of Optimism: Agenda-Setting Organizations and the Framing of Performance-Based Funding for Higher Education,"Graham N S Miller, Christopher C Morphew",The Journal of Higher Education,88,5,p754 - p784,2017,10.1080/00221546.2017.1313084,04-May-2017,https://doi.org/10.1080/00221546.2017.1313084,1336.0,52.0
What do we know about explanations for drop out/opt out among young people from STM higher education programmes?,"Henriette T Holmegaard, Lene Møller Madsen, Lars Ulriksen",Studies in Science Education,46,2,p209 - p244,2010,10.1080/03057267.2010.504549,08-Sep-2010,https://doi.org/10.1080/03057267.2010.504549,2422.0,110.0
Reliability Theory in Engineering Education,LENNART RADE,European Journal of Engineering Education,15,3,p251 - p255,1990,10.1080/03043799008939482,15-Oct-2007,https://doi.org/10.1080/03043799008939482,44.0,1.0
"Teacher placement, mobility, and occupational choices after teaching",Li Feng,Education Economics,22,1,p24 - p47,2014,10.1080/09645292.2010.511841,04-Jan-2011,https://doi.org/10.1080/09645292.2010.511841,598.0,25.0
Low birth weight and prematurity as predictors of children's receiving special education services,"Amber Brown Ruiz, Chin-Chih Chen, Christine Spence, Yaoying Xu, Fa Zhang",Early Child Development and Care,192,5,p831 - p844,2022,10.1080/03004430.2020.1804897,17-Sep-2020,https://doi.org/10.1080/03004430.2020.1804897,260.0,1.0
"What Factors are Relevant to Understanding Dropout? Analysis at a Co-Financed University in Ecuador and Policy Implications, Using Survival Cox Models","María José Beletanga, Edwin Buenaño, Mónica Mancheno",Journal of Latinos and Education,23,4,p1400 - p1415,2024,10.1080/15348431.2023.2271570,22-Oct-2023,https://doi.org/10.1080/15348431.2023.2271570,2058.0,3.0
The Primary School Dropout in Spain: The Influence of Family Background and Labor Market Conditions,"Margarita Pastor, Carlos Peraita",Education Economics,8,2,p157 - p168,2000,10.1080/096452900410721,01-Jul-2010,https://doi.org/10.1080/096452900410721,476.0,26.0
A Tutorial and Case Study in Propensity Score Analysis: An Application to Estimating the Effect of In-Hospital Smoking Cessation Counseling on Mortality,Peter C Austin,Multivariate Behavioral Research,46,1,p119 - p151,2011,10.1080/00273171.2011.540480,18-Feb-2011,https://doi.org/10.1080/00273171.2011.540480,12824.0,327.0
Tertiary graduates in low-wage jobs in Sweden 2003-2012,Madelene Nordlund,Journal of Education and Work,31,5-6,p461 - p477,2018,10.1080/13639080.2018.1528576,15-Oct-2018,https://doi.org/10.1080/13639080.2018.1528576,987.0,1.0
Intersectional Dynamics and Academic Advancement in the United States,Monica Gaughan,The Journal of Higher Education,94,6,p720 - p744,2023,10.1080/00221546.2023.2192162,29-Mar-2023,https://doi.org/10.1080/00221546.2023.2192162,407.0,6.0
"School dropout, problem behaviour and poor academic achievement: a longitudinal view of Portuguese male offenders","A Beatriz Saraiva, Beatriz O Pereira, Judite Zamith-Cruz",Emotional and Behavioural Difficulties,16,4,p419 - p436,2011,10.1080/13632752.2011.616351,21-Oct-2011,https://doi.org/10.1080/13632752.2011.616351,879.0,7.0
Communication and hearing complications in patients with childhood cancers,"Godfrey Chi-Fung Chan, Daniel Ka-Leung Cheuk, Alan Kwok-Shing Chiang, Shau-Yin Ha, Anthony Pak-Yin Liu, Wilfred Hing-Sang Wong, Oi-Yan Yiu","Speech, Language and Hearing",22,3,p149 - p159,2019,10.1080/2050571x.2018.1541296,08-Nov-2018,https://doi.org/10.1080/2050571x.2018.1541296,199.0,1.0
Dropout and Downward Mobility in the Educational Career: An Event-History Anaylsis of Ethnic Schooling Differences in the Netherlands,"Matthijs Kalmijn, Gerbert Kraaykamp",Educational Research and Evaluation,9,3,p265 - p287,2003,10.1076/edre.9.3.265.15572,09-Aug-2010,https://doi.org/10.1076/edre.9.3.265.15572,598.0,35.0
University-to-work transitions in Germany - do graduate job seekers benefit from migration and work experience?,"Annekatrin Niebuhr, Anne Otto, Anja Rossen, Christian Teichert",Education Economics,32,3,p355 - p380,2024,10.1080/09645292.2023.2213413,25-May-2023,https://doi.org/10.1080/09645292.2023.2213413,1808.0,2.0
Do initiation rites hasten sexual debut among adolescent girls? A longitudinal analysis from Ghana,M Henderson,"Culture, Health & Sexuality",25,3,p382 - p397,2023,10.1080/13691058.2022.2047226,11-Mar-2022,https://doi.org/10.1080/13691058.2022.2047226,132.0,1.0
The influence of socioeconomic status on changes in young people's expectations of applying to university,Jake Anders,Oxford Review of Education,43,4,p381 - p401,2017,10.1080/03054985.2017.1329722,22-Jun-2017,https://doi.org/10.1080/03054985.2017.1329722,9583.0,19.0
Dropping out of further education: a fresh start? Findings from a German longitudinal study,Judith Glaesser,Journal of Vocational Education & Training,58,1,p83 - p97,2006,10.1080/13636820600591743,18-Feb-2007,https://doi.org/10.1080/13636820600591743,357.0,13.0
Children's learning practices in Ethiopia: observations from primary school classes,"Melanie Frost, Angela W Little",Oxford Review of Education,40,1,p91 - p111,2014,10.1080/03054985.2013.873526,10-Jan-2014,https://doi.org/10.1080/03054985.2013.873526,939.0,24.0
Choice-Based Segmentation As an Enrollment Management Tool,Mark R Young,Journal of Marketing for Higher Education,12,2,p69 - p83,2003,10.1300/j050v12n02_05,08-Sep-2008,https://doi.org/10.1300/j050v12n02_05,154.0,4.0
"Latent Class Modeling with A Time-To-Event Distal Outcome: A Comparison of One, Two and Three-Step Approaches","Trevor F Cox, Marta Garcia-Fiñana, Daniel T Lythgoe",Structural Equation Modeling: A Multidisciplinary Journal,26,1,p51 - p65,2019,10.1080/10705511.2018.1495081,21-Aug-2018,https://doi.org/10.1080/10705511.2018.1495081,831.0,14.0
Determinants of immigrants' entry to homeownership in three nordic capital city regions,"Lina Hedman, Timo M Kauppinen, Hans Skifter Andersen","Geografiska Annaler: Series B, Human Geography",97,4,p343 - p362,2015,10.1111/geob.12085,10-Nov-2016,https://doi.org/10.1111/geob.12085,101.0,19.0
Bayesian Causal Mediation Analysis with Latent Mediators and Survival Outcome,"Xinyuan Song, Rongqian Sun, Xiaoxiao Zhou",Structural Equation Modeling: A Multidisciplinary Journal,28,5,p778 - p790,2021,10.1080/10705511.2020.1863154,11-Jun-2021,https://doi.org/10.1080/10705511.2020.1863154,1095.0,14.0
Should first-year doctoral students be supervised collectively or individually? Effects on thesis completion and time to completion,"Hans Agné, Ulf Mörkenstam",Higher Education Research & Development,37,4,p669 - p682,2018,10.1080/07294360.2018.1453785,22-Mar-2018,https://doi.org/10.1080/07294360.2018.1453785,5969.0,14.0
Recently Published Dissertations on Community and Junior Colleges,,Community College Journal of Research and Practice,38,9,p855 - p858,2014,10.1080/10668926.2014.916091,08-May-2014,https://doi.org/10.1080/10668926.2014.916091,129.0,0.0
Which mechanisms explain monetary returns to international student mobility?,"Fabian Kratz, Nicolai Netz",Studies in Higher Education,43,2,p375 - p400,2018,10.1080/03075079.2016.1172307,04-May-2016,https://doi.org/10.1080/03075079.2016.1172307,2019.0,91.0
Higher education and non-pecuniary returns in Germany: tracing the mechanisms behind field of study effects at the start of the career,Markus Klein,Irish Educational Studies,30,2,p253 - p270,2011,10.1080/03323315.2011.569144,24-Jun-2011,https://doi.org/10.1080/03323315.2011.569144,272.0,13.0
Broadening recruitment to higher education through the admission system: gender and class perspectives,Caroline Berggren,Studies in Higher Education,32,1,p97 - p116,2007,10.1080/03075070601099499,14-Feb-2007,https://doi.org/10.1080/03075070601099499,738.0,16.0
College-Going Trajectories Across Early Adulthood: An Inquiry Using Sequence Analysis,David B Monaghan,The Journal of Higher Education,91,3,p402 - p432,2020,10.1080/00221546.2019.1647584,28-Aug-2019,https://doi.org/10.1080/00221546.2019.1647584,799.0,11.0
Causal Mediation Analysis for Multivariate Longitudinal Data and Survival Outcomes,"Xinyuan Song, Xiaoxiao Zhou",Structural Equation Modeling: A Multidisciplinary Journal,30,5,p749 - p760,2023,10.1080/10705511.2022.2162406,24-Jan-2023,https://doi.org/10.1080/10705511.2022.2162406,901.0,2.0
Examining the Error of Mis-Specifying Nonlinear Confounding Effect With Application on Accelerometer-Measured Physical Activity,Paul H Lee,Research Quarterly for Exercise and Sport,88,2,p203 - p208,2017,10.1080/02701367.2017.1296101,31-Mar-2017,https://doi.org/10.1080/02701367.2017.1296101,185.0,1.0
Not-reached Items: An Issue of Time and of test-taking Disengagement? the Case of PISA 2015 Reading Data,Elodie Pools,Applied Measurement in Education,35,3,p197 - p221,2022,10.1080/08957347.2022.2103136,11-Aug-2022,https://doi.org/10.1080/08957347.2022.2103136,445.0,3.0
The Adult Learner of Color: An Overlooked College Student Population,Jovita M Ross-Gordon,The Journal of Continuing Higher Education,53,2,p2 - p11,2005,10.1080/07377366.2005.10400064,27-Sep-2011,https://doi.org/10.1080/07377366.2005.10400064,461.0,8.0
Response Time Modeling Based on the Proportional Hazards Model,"Tuulia M Ortner, Jochen Ranger",Multivariate Behavioral Research,48,4,p503 - p533,2013,10.1080/00273171.2013.796280,26-Jul-2013,https://doi.org/10.1080/00273171.2013.796280,338.0,9.0
A fair chance for acquiring literacy skills? Suggestions for primary school dropouts in rural Burkina Faso,"Yukiko Hirakawa, Issoufou Ouedraogo, Kyoko Taniguchi",Education 3-13,49,4,p433 - p447,2021,10.1080/03004279.2020.1733042,26-Feb-2020,https://doi.org/10.1080/03004279.2020.1733042,322.0,0.0
Correction,,Studies in Higher Education,47,2,pi - pv,2022,10.1080/03075079.2020.1754697,20-Apr-2020,https://doi.org/10.1080/03075079.2020.1754697,1005.0,0.0
Factors contributing to high PhD completion rates: a case study in a research-intensive university in New Zealand,"Claire Cameron, Robin Quigg, Rachel Spronken-Smith",Assessment & Evaluation in Higher Education,43,1,p94 - p109,2018,10.1080/02602938.2017.1298717,05-Mar-2017,https://doi.org/10.1080/02602938.2017.1298717,3375.0,45.0
Teenage Pregnancy and Sex and Relationship Education: Myths and (mis)Conceptions,KERRY VINCENT,Pastoral Care in Education,25,3,p16 - p23,2007,10.1111/j.1468-0122.2007.00412.x,29-Feb-2008,https://doi.org/10.1111/j.1468-0122.2007.00412.x,882.0,0.0
Somatotype and Longevity of Former University Athletes and Nonathletes,"Henry J Montoye, Herbert W Olson, Homer A Sprague, Bradley R A Wilson, Wayne D van Huss",Research Quarterly for Exercise and Sport,61,1,p1 - p6,1990,10.1080/02701367.1990.10607472,08-Feb-2013,https://doi.org/10.1080/02701367.1990.10607472,15.0,4.0
A Temporal Investigation of Factors Related to Timely Degree Completion,"Dennis A Ahlburg, Stephen L DesJardins, Brian P McCall",The Journal of Higher Education,73,5,p555 - p581,2002,10.1080/00221546.2002.11777168,01-Nov-2016,https://doi.org/10.1080/00221546.2002.11777168,482.0,32.0
Unveiling gender disparities in university pathways: insights from Italy's master's level,"Massimo Attanasio, Andrea Priulla",European Journal of Higher Education,14,4,p574 - p597,2024,10.1080/21568235.2023.2247189,11-Aug-2023,https://doi.org/10.1080/21568235.2023.2247189,142.0,0.0
Using Propensity Scores in Educational Research: General Principles and Practical Applications,"Suzanne E Graham, Michal Kurlaender",The Journal of Educational Research,104,5,p340 - p353,2011,10.1080/00220671.2010.486082,02-Aug-2011,https://doi.org/10.1080/00220671.2010.486082,756.0,24.0
International comparisons of themes in higher education research,"Hua Jiang, Yuan Lin, Miaomiao Liu, Shengbo Liu, Kan Xu",Higher Education Research & Development,38,7,p1445 - p1460,2019,10.1080/07294360.2019.1654438,23-Aug-2019,https://doi.org/10.1080/07294360.2019.1654438,914.0,11.0
A predictive analysis of risk factors contributing to low examination registration rate by secondary schools' learners in Zimbabwe's rural areas,"Weston Chidyausiku, Willard Muntanga, Quegas Mutale, Taruvinga Muzingili, Laison Mwiinde",Cogent Education,12,1,,2025,10.1080/2331186x.2024.2444177,21-Dec-2024,https://doi.org/10.1080/2331186x.2024.2444177,296.0,0.0
The Use of Statistics in the American Journal of Health Education from 1994 through 2003: A Content Analysis,"Ray M Merrill, Eric C Shields, Julianne Stoddard",American Journal of Health Education,35,5,p290 - p297,2004,10.1080/19325037.2004.10603659,22-Feb-2013,https://doi.org/10.1080/19325037.2004.10603659,29.0,5.0
Out-mobility from Stockholm's immigrant-dense neighbourhoods - a study of two cohorts,Andreas Alm Fjellborg,"Geografiska Annaler: Series B, Human Geography",103,1,p1 - p20,2021,10.1080/04353684.2020.1868325,19-Jan-2021,https://doi.org/10.1080/04353684.2020.1868325,1183.0,3.0
"Compete, Conform, or Both? School District Responses to Statewide Cyber Charter Schools",Bryan Mann,Journal of School Choice,14,1,p49 - p74,2020,10.1080/15582159.2019.1566996,21-Jan-2019,https://doi.org/10.1080/15582159.2019.1566996,257.0,3.0
The role of specific and general human capital after displacement,"BEN KRIECHEL, GERARD A PFANN",Education Economics,13,2,p223 - p236,2005,10.1080/09645290500031439,05-Oct-2010,https://doi.org/10.1080/09645290500031439,254.0,16.0
Marking the School Psychology Lifespan: Entry Into and Exit From the Profession,Felicia L Wilczenski,School Psychology Review,26,3,p502 - p514,1997,10.1080/02796015.1997.12085883,22-Dec-2019,https://doi.org/10.1080/02796015.1997.12085883,23.0,11.0
"The Expansion of Higher Education and Uneven Access to Opportunities for Participation in It, 1978-2003",Liu Jingming,Chinese Education & Society,40,1,p36 - p59,2007,10.2753/ced1061-1932400103,08-Dec-2014,https://doi.org/10.2753/ced1061-1932400103,60.0,5.0
"Student behavioural disengagement, peer encouragement and the school curriculum: a mechanism approach",Olof Reichenberg,Educational Studies,44,2,p147 - p166,2018,10.1080/03055698.2017.1347491,03-Jul-2017,https://doi.org/10.1080/03055698.2017.1347491,1433.0,7.0
Pressing the right button-labour market odds for youth with mental illness,"Ines Hardoy, Kristine von Simson",Journal of Education and Work,36,7-8,p592 - p607,2023,10.1080/13639080.2023.2289952,13-Dec-2023,https://doi.org/10.1080/13639080.2023.2289952,574.0,0.0
One Model of Residency Journal Clubs With Multifaceted Support,"Naleen N Andrade, Deborah A Goebert, Earl S Hishinuma, Ryan M Lunsford, Noreen M Matsuda, Alexandru Serghi",Teaching and Learning in Medicine,27,3,p329 - p340,2015,10.1080/10401334.2015.1044658,09-Jul-2015,https://doi.org/10.1080/10401334.2015.1044658,475.0,5.0
Estimating Multi-Level Discrete-Time Hazard Models Using Cross-Sectional Data: Neighborhood Effects on the Onset of Adolescent Cigarette Use,"Robert T Brennan, Stephen L Buka, Sean F Reardon",Multivariate Behavioral Research,37,3,p297 - p330,2002,10.1207/s15327906mbr3703_1,10-Jun-2010,https://doi.org/10.1207/s15327906mbr3703_1,563.0,45.0
Statistical Analysis Tools for Learning in Engineering Laboratories,CAROLYN A MAHER,European Journal of Engineering Education,15,3,p223 - p231,1990,10.1080/03043799008939479,15-Oct-2007,https://doi.org/10.1080/03043799008939479,41.0,0.0
Gender and Predisposing Attributes as Predictors of Smoking Onset: Implications for Theory and Practice,"J A Best, K S Brown, R Cameron, S M Manske, S Santi",Journal of Health Education,26,sup2,s52 - s60,1995,10.1080/10556699.1995.10603149,08-Mar-2013,https://doi.org/10.1080/10556699.1995.10603149,16.0,14.0
Recently Published Dissertations on Community and Junior Colleges,,Community College Journal of Research and Practice,39,5,p495 - p498,2015,10.1080/10668926.2014.968489,22-Jan-2015,https://doi.org/10.1080/10668926.2014.968489,110.0,0.0
The effect of education on democratisation: a review of past literature and suggestions for a globalised context,Ryan Wells,"Globalisation, Societies and Education",6,2,p105 - p117,2008,10.1080/14767720802058849,20-Aug-2009,https://doi.org/10.1080/14767720802058849,686.0,8.0
Attrition and retention of apprentices: an exploration of event history data using a multi-state modelling framework,"John Mangan, Bernard Trendle",Education Economics,25,4,p406 - p417,2017,10.1080/09645292.2016.1213795,02-Aug-2016,https://doi.org/10.1080/09645292.2016.1213795,319.0,6.0
Mapping the incidence of school dropouts: a case study of communities in Northern Ghana,"Christine Adu-Yeboah, Joseph Ghartey Ampiah",Comparative Education,45,2,p219 - p232,2009,10.1080/03050060902920625,13-May-2009,https://doi.org/10.1080/03050060902920625,1763.0,48.0
Lost in the Transition: The Cost of College-Readiness English Standards Misalignment for Students Initially Classified as English Learners,"Tim Carroll, Stella Flores, Tatiana Melguizo, David Velasquez",The Journal of Higher Education,92,5,p815 - p846,2021,10.1080/00221546.2021.1888634,14-Apr-2021,https://doi.org/10.1080/00221546.2021.1888634,857.0,5.0
"Some Thoughts on International Perspectives in Special Education, With Special Attention to the Research-to-Practice Gap","Daniel P Hallahan, Elizabeth A Martinez",Exceptionality,8,4,p305 - p311,2000,10.1207/s15327035ex0804_9,08-Jun-2010,https://doi.org/10.1207/s15327035ex0804_9,107.0,5.0
Predicting stable employment trajectories among young people with disabilities,"Andreea Ioana Alecu, Jannike Gottschalk Ballo",Journal of Education and Work,36,6,p408 - p425,2023,10.1080/13639080.2023.2254271,05-Sep-2023,https://doi.org/10.1080/13639080.2023.2254271,1973.0,0.0
"How artificial intelligence (AI) supports nursing education: profiling the roles, applications, and trends of AI in nursing education research (1993-2020)","Gwo-Jen Hwang, Kai-Yu Tang, Yun-Fang Tu",Interactive Learning Environments,32,1,p373 - p392,2024,10.1080/10494820.2022.2086579,26-Jun-2022,https://doi.org/10.1080/10494820.2022.2086579,5107.0,19.0
Negative Social Experiences and Dropping Out of School,"Michel Janosz, Denis Larocque, Richard E Tremblay, Frank Vitaro",Educational Psychology,21,4,p401 - p415,2001,10.1080/01443410120090795,01-Jul-2010,https://doi.org/10.1080/01443410120090795,676.0,56.0
Discipline and methodology in higher education research,Malcolm Tight,Higher Education Research & Development,32,1,p136 - p151,2013,10.1080/07294360.2012.750275,01-Feb-2013,https://doi.org/10.1080/07294360.2012.750275,4085.0,65.0
Can China's Higher Education Expansion Reduce the Educational Inequality Between Urban and Rural Areas?,"Jiwei Chen, Jiangying Guo",The Journal of Higher Education,94,5,p638 - p663,2023,10.1080/00221546.2023.2168408,17-Jan-2023,https://doi.org/10.1080/00221546.2023.2168408,1530.0,1.0
Shifts in the Educational and Vocational Careers of Dutch Young Adults During the Eighties: On the Decreasing Pay-off of Education,"Jan A Feij, Toon W Taris",International Journal of Adolescence and Youth,6,4,p273 - p294,1997,10.1080/02673843.1997.9747798,27-Mar-2012,https://doi.org/10.1080/02673843.1997.9747798,181.0,0.0
Recently Completed Dissertations on Community and Junior Colleges,,Community College Journal of Research and Practice,34,8,p676 - p678,2010,10.1080/10668920903182732,11-Jun-2010,https://doi.org/10.1080/10668920903182732,52.0,0.0
Call to Publish in an Undergraduate Medical Course: Dissemination of the Final-Year Research Project,"Joselina Maria Pinto Barbosa, Maria Amélia Duarte Ferreira, Sónia Isabel Costa Magalhães",Teaching and Learning in Medicine,28,4,p432 - p438,2016,10.1080/10401334.2016.1182916,23-May-2016,https://doi.org/10.1080/10401334.2016.1182916,339.0,6.0
Demanding More: Legal Standards and Best Practices for English Language Learners,"Mileidis Gort, Eric Haas",Bilingual Research Journal,32,2,p115 - p135,2009,10.1080/15235880903169951,15-Sep-2009,https://doi.org/10.1080/15235880903169951,1251.0,12.0
Predicting Persistence for First-Time Undergraduate Adult Students at Four-Year Institutions Using First-Term Academic Behaviors and Outcomes,"J Cody Davidson, Wesley T Holbrook",The Journal of Continuing Higher Education,62,2,p78 - p89,2014,10.1080/07377363.2014.915447,23-Jun-2014,https://doi.org/10.1080/07377363.2014.915447,460.0,4.0
Institutional and Ethnic Variations in Postgraduate Enrollment and Completion,"Marta Tienda, Linda Zhao",The Journal of Higher Education,88,4,p561 - p592,2017,10.1080/00221546.2016.1272332,30-Mar-2017,https://doi.org/10.1080/00221546.2016.1272332,650.0,7.0
How to improve drivers' hazard perception ability? an interactive training method based on VR technology and the Unity 3D Platform,"Yang Ding, Chenxi He, Shuo Liu, Ying Yao, Pengcheng Yu, Xiaohua Zhao",Interactive Learning Environments,,,p1 - p18,5187,10.1080/10494820.2025.2465438,17-Feb-2025,https://doi.org/10.1080/10494820.2025.2465438,32.0,0.0
Going Charter? A Study of School District Competition in Wisconsin,"Paul A Schlomer, Arnold F Shober, John F Witte",Peabody Journal of Education,82,2-3,p410 - p439,2007,10.1080/01619560701313051,05-Dec-2007,https://doi.org/10.1080/01619560701313051,254.0,9.0
